window_size,iteration,fold,accuracy,precision,recall
1.0,0.0,0.0,0.9919547877425227,0.0,0.0
1.0,0.0,1.0,0.9920266755173398,0.20454545454545456,0.00893743793445879
1.0,0.0,2.0,0.9923166112700008,1.0,0.0010050251256281408
1.0,1.0,0.0,0.9919547877425227,0.0,0.0
1.0,1.0,1.0,0.9918645847001706,0.11475409836065574,0.006951340615690168
1.0,1.0,2.0,0.9923088815026667,0.0,0.0
1.0,2.0,0.0,0.9919547877425227,0.0,0.0
1.0,2.0,1.0,0.9919417708035845,0.13725490196078433,0.006951340615690168
1.0,2.0,2.0,0.9923088815026667,0.0,0.0
1.0,3.0,0.0,0.9919547877425227,0.0,0.0
1.0,3.0,1.0,0.9920189569069985,0.11428571428571428,0.003972194637537239
1.0,3.0,2.0,0.9923088815026667,0.0,0.0
1.0,4.0,0.0,0.9919547877425227,0.0,0.0
1.0,4.0,1.0,0.9919031777518775,0.13793103448275862,0.007944389275074478
1.0,4.0,2.0,0.9923088815026667,0.0,0.0
1.0,5.0,0.0,0.9919547877425227,0.0,0.0
1.0,5.0,1.0,0.9920343941276812,0.12121212121212122,0.003972194637537239
1.0,5.0,2.0,0.9922393135966607,0.0,0.0
1.0,6.0,0.0,0.9919547877425227,0.0,0.0
1.0,6.0,1.0,0.9919417708035845,0.10638297872340426,0.004965243296921549
1.0,6.0,2.0,0.9921774754579887,0.09523809523809523,0.0020100502512562816
1.0,7.0,0.0,0.9919547877425227,0.0,0.0
1.0,7.0,1.0,0.9919417708035845,0.12244897959183673,0.005958291956305859
1.0,7.0,2.0,0.9923088815026667,0.0,0.0
1.0,8.0,0.0,0.9919547877425227,0.0,0.0
1.0,8.0,1.0,0.991910896362219,0.12727272727272726,0.006951340615690168
1.0,8.0,2.0,0.9921774754579887,0.09523809523809523,0.0020100502512562816
1.0,9.0,0.0,0.9919547877425227,0.0,0.0
1.0,9.0,1.0,0.9919186149725603,0.14285714285714285,0.007944389275074478
1.0,9.0,2.0,0.9923166112700008,1.0,0.0010050251256281408
1.0,10.0,0.0,0.9919547877425227,0.0,0.0
1.0,10.0,1.0,0.9919803638552915,0.15217391304347827,0.006951340615690168
1.0,10.0,2.0,0.9923088815026667,0.0,0.0
1.0,11.0,0.0,0.9919547877425227,0.0,0.0
1.0,11.0,1.0,0.9921038616207538,0.13636363636363635,0.0029791459781529296
1.0,11.0,2.0,0.9923011517353327,0.3333333333333333,0.0010050251256281408
1.0,12.0,0.0,0.9919547877425227,0.0,0.0
1.0,12.0,1.0,0.9918877405311948,0.09259259259259259,0.004965243296921549
1.0,12.0,2.0,0.9923088815026667,0.0,0.0
1.0,13.0,0.0,0.9919547877425227,0.0,0.0
1.0,13.0,1.0,0.9919726452449501,0.14893617021276595,0.006951340615690168
1.0,13.0,2.0,0.9923088815026667,0.0,0.0
1.0,14.0,0.0,0.9919547877425227,0.0,0.0
1.0,14.0,1.0,0.9919263335829017,0.1320754716981132,0.006951340615690168
1.0,14.0,2.0,0.9923088815026667,0.0,0.0
1.0,15.0,0.0,0.99197008282286,1.0,0.0019011406844106464
1.0,15.0,1.0,0.9919880824656329,0.10256410256410256,0.003972194637537239
1.0,15.0,2.0,0.9923088815026667,0.0,0.0
1.0,16.0,0.0,0.9919547877425227,0.0,0.0
1.0,16.0,1.0,0.9919417708035845,0.08888888888888889,0.003972194637537239
1.0,16.0,2.0,0.9923088815026667,0.0,0.0
1.0,17.0,0.0,0.9919547877425227,0.0,0.0
1.0,17.0,1.0,0.9919494894139259,0.09090909090909091,0.003972194637537239
1.0,17.0,2.0,0.9923088815026667,0.0,0.0
1.0,18.0,0.0,0.9919547877425227,0.0,0.0
1.0,18.0,1.0,0.9919649266346087,0.17307692307692307,0.00893743793445879
1.0,18.0,2.0,0.9923088815026667,0.0,0.0
1.0,19.0,0.0,0.9919547877425227,0.0,0.0
1.0,19.0,1.0,0.9918414288691464,0.08333333333333333,0.004965243296921549
1.0,19.0,2.0,0.9923088815026667,0.0,0.0
1.0,20.0,0.0,0.9919547877425227,0.0,0.0
1.0,20.0,1.0,0.9919417708035845,0.13725490196078433,0.006951340615690168
1.0,20.0,2.0,0.9923011517353327,0.0,0.0
1.0,21.0,0.0,0.9919547877425227,0.0,0.0
1.0,21.0,1.0,0.9919880824656329,0.12195121951219512,0.004965243296921549
1.0,21.0,2.0,0.9923011517353327,0.0,0.0
1.0,22.0,0.0,0.9919547877425227,0.0,0.0
1.0,22.0,1.0,0.9919726452449501,0.11627906976744186,0.004965243296921549
1.0,22.0,2.0,0.9923088815026667,0.0,0.0
1.0,23.0,0.0,0.9919547877425227,0.0,0.0
1.0,23.0,1.0,0.9919958010759743,0.14285714285714285,0.005958291956305859
1.0,23.0,2.0,0.9922934219679987,0.0,0.0
1.0,24.0,0.0,0.9919547877425227,0.0,0.0
1.0,24.0,1.0,0.9920189569069985,0.13513513513513514,0.004965243296921549
1.0,24.0,2.0,0.9923088815026667,0.0,0.0
1.0,25.0,0.0,0.9919241975818478,0.0,0.0
1.0,25.0,1.0,0.9919186149725603,0.12962962962962962,0.006951340615690168
1.0,25.0,2.0,0.9923088815026667,0.0,0.0
1.0,26.0,0.0,0.9919547877425227,0.0,0.0
1.0,26.0,1.0,0.9919417708035845,0.12244897959183673,0.005958291956305859
1.0,26.0,2.0,0.9923088815026667,0.0,0.0
1.0,27.0,0.0,0.9919547877425227,0.0,0.0
1.0,27.0,1.0,0.9919340521932432,0.10416666666666667,0.004965243296921549
1.0,27.0,2.0,0.9923088815026667,0.0,0.0
1.0,28.0,0.0,0.9919547877425227,0.0,0.0
1.0,28.0,1.0,0.992049831348364,0.17142857142857143,0.005958291956305859
1.0,28.0,2.0,0.9923088815026667,0.0,0.0
1.0,29.0,0.0,0.9919547877425227,0.0,0.0
1.0,29.0,1.0,0.9919726452449501,0.14893617021276595,0.006951340615690168
1.0,29.0,2.0,0.9923088815026667,0.0,0.0
1.0,30.0,0.0,0.9919547877425227,0.0,0.0
1.0,30.0,1.0,0.9918568660898291,0.11290322580645161,0.006951340615690168
1.0,30.0,2.0,0.9922702326659968,0.14285714285714285,0.0010050251256281408
1.0,31.0,0.0,0.9919547877425227,0.0,0.0
1.0,31.0,1.0,0.9920343941276812,0.14285714285714285,0.004965243296921549
1.0,31.0,2.0,0.9923166112700008,1.0,0.0010050251256281408
1.0,32.0,0.0,0.9919624352826913,1.0,0.0009505703422053232
1.0,32.0,1.0,0.9919186149725603,0.11538461538461539,0.005958291956305859
1.0,32.0,2.0,0.9923088815026667,0.0,0.0
