window_size,iteration,fold,accuracy,precision,recall
1.0,0.0,0.0,0.9921292839400819,0.0,0.0
1.0,0.0,1.0,0.9920848198427775,0.2857142857142857,0.003925417075564278
1.0,0.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,1.0,0.0,0.9921292839400819,0.0,0.0
1.0,1.0,1.0,0.9920462092078642,0.2608695652173913,0.005888125613346418
1.0,1.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,2.0,0.0,0.9921292839400819,0.0,0.0
1.0,2.0,1.0,0.9920462092078642,0.2608695652173913,0.005888125613346418
1.0,2.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,3.0,0.0,0.9921292839400819,0.0,0.0
1.0,3.0,1.0,0.9920770977157949,0.26666666666666666,0.003925417075564278
1.0,3.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,4.0,0.0,0.9921292839400819,0.0,0.0
1.0,4.0,1.0,0.9921465968586387,0.6666666666666666,0.003925417075564278
1.0,4.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,5.0,0.0,0.9921292839400819,0.0,0.0
1.0,5.0,1.0,0.9920770977157949,0.26666666666666666,0.003925417075564278
1.0,5.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,6.0,0.0,0.9921292839400819,0.0,0.0
1.0,6.0,1.0,0.9920925419697602,0.35294117647058826,0.005888125613346418
1.0,6.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,7.0,0.0,0.9921292839400819,0.0,0.0
1.0,7.0,1.0,0.9920462092078642,0.2608695652173913,0.005888125613346418
1.0,7.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,8.0,0.0,0.9921292839400819,0.0,0.0
1.0,8.0,1.0,0.9921465968586387,1.0,0.001962708537782139
1.0,8.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,9.0,0.0,0.9921292839400819,0.0,0.0
1.0,9.0,1.0,0.9920539313348469,0.2222222222222222,0.003925417075564278
1.0,9.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,10.0,0.0,0.9921292839400819,0.0,0.0
1.0,10.0,1.0,0.9919998764459683,0.20689655172413793,0.005888125613346418
1.0,10.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,11.0,0.0,0.9921292839400819,0.0,0.0
1.0,11.0,1.0,0.9921079862237254,0.36363636363636365,0.003925417075564278
1.0,11.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,12.0,0.0,0.9921292839400819,0.0,0.0
1.0,12.0,1.0,0.9920848198427775,0.2,0.001962708537782139
1.0,12.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,13.0,0.0,0.9921292839400819,0.0,0.0
1.0,13.0,1.0,0.9920230428269162,0.18181818181818182,0.003925417075564278
1.0,13.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,14.0,0.0,0.9921292839400819,0.0,0.0
1.0,14.0,1.0,0.9920770977157949,0.26666666666666666,0.003925417075564278
1.0,14.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,15.0,0.0,0.9921292839400819,0.0,0.0
1.0,15.0,1.0,0.9921157083507082,0.3333333333333333,0.001962708537782139
1.0,15.0,2.0,0.9922602059808909,0.75,0.005988023952095809
1.0,16.0,0.0,0.9921292839400819,0.0,0.0
1.0,16.0,1.0,0.9921234304776908,0.4,0.001962708537782139
1.0,16.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,17.0,0.0,0.9921292839400819,0.0,0.0
1.0,17.0,1.0,0.9920616534618295,0.15384615384615385,0.001962708537782139
1.0,17.0,2.0,0.9922369400670058,0.6666666666666666,0.001996007984031936
1.0,18.0,0.0,0.9921292839400819,0.0,0.0
1.0,18.0,1.0,0.9920925419697602,0.35294117647058826,0.005888125613346418
1.0,18.0,2.0,0.9922446953716342,1.0,0.001996007984031936
1.0,19.0,0.0,0.9921292839400819,0.0,0.0
1.0,19.0,1.0,0.9921234304776908,0.4,0.001962708537782139
1.0,19.0,2.0,0.9922524506762626,0.8,0.003992015968063872
1.0,20.0,0.0,0.9921292839400819,0.0,0.0
1.0,20.0,1.0,0.9920770977157949,0.26666666666666666,0.003925417075564278
